word,count
guess,7
guest,4
guide,5
guppy,18
gusts,1
habit,11
hages,1
hairs,1
hallo,19
halls,4
hands,152
handy,3
haply,1
happy,57
hardy,2
hares,1
harms,1
harry,1
harsh,2
harum,2
haste,2
hasty,3
hated,3
haunt,1
haven,24
havin,1
heads,21
heaps,4
heard,84
heart,119
heats,1
heave,1
heavy,35
hedge,1
heels,6
heerd,2
heigh,1
helen,1
hence,9
henry,1
hexam,13
hiilo,1
hilli,1
hills,2
hints,2
hippo,1
hiram,1
hired,4
hitch,3
hoary,1
hoist,1
holds,3
holes,1
hollo,1
holly,1
homes,2
honey,1
hoofs,1
hoped,11
hopes,17
horde,1
horse,19
hosts,2
hotel,8
hotly,1
hound,1
hours,35
house,213
hover,1
hulks,1
human,22
humph,21
hunts,1
hurly,1
hurry,14
hurts,1
husky,1
ideal,1
ideas,3
idiot,5
image,8
imply,1
inapt,1
incur,1
india,3
ingun,1
inlet,1
inner,3
irish,1
irons,2
isaac,2
issue,3
jacob,10
jaded,1
james,13
janet,9
jemmy,2
jenny,13
jerks,1
jerry,19
jetty,1
jewel,1
joint,6
joked,1
jokes,4
jolly,14
jonas,72
jones,4
judas,1
judge,7
juice,1
juicy,1
julia,1
keeps,3
kenge,10
kicks,1
kilns,1
kinds,7
kites,1
knave,1
kneed,1
knees,10
knife,14
knock,5
knots,2
known,59
knows,42
krook,15
laced,1
laces,1
laden,4
lambs,3
lamed,2
lamps,3
lands,4
lanes,1
lapse,3
large,38
larks,3
lasts,1
latch,2
later,3
latin,2
laugh,19
lavvy,7
leads,5
leafy,1
leant,1
leapt,1
learn,11
least,36
leave,62
ledge,1
legal,8
lemon,4
lends,1
level,3
lever,1
lifts,1
light,120
liked,10
likes,3
limbs,3
limit,3
linen,6
lines,7
lions,3
lithe,1
lived,23
liver,3
lives,13
livid,4
livin,1
loans,1
local,3
locks,3
lodge,5
lofty,4
looks,31
loose,4
lords,3
lorry,21
loses,2
lothe,1
loved,21
lover,6
loves,5
lower,18
lowly,1
lucie,10
lucky,1
lumps,3
lunch,6
lungs,4
lupin,5
lurch,1
lurid,2
lusts,1
lying,27
lyons,1
madam,13
madly,2
magic,1
maids,1
